domain,intersections,avg_position,organic_keywords
casabellucci.de,176,20,176
tripadvisor.de,173,6.5,173
instagram.com,170,16.9,170
opentable.de,147,9.4,147
mitvergnuegen.com,141,9.2,141
yelp.com,125,26.7,125
quandoo.de,121,18.4,121
youtube.com,120,35.1,120
visitberlin.de,111,16.3,111
facebook.com,102,25.4,102
tip-berlin.de,85,22.1,85
tripadvisor.at,77,59.3,77
berlin.de,77,23.5,77
bellucci.de,74,21.4,74
tiktok.com,69,39.2,69
speisekarte.de,65,23.7,65
mapquest.com,63,29.2,63
louisas-place.de,62,14.3,62
grace-restaurant.de,57,19.2,57
eiffel-restaurant.de,56,18.3,56
tripadvisor.com,55,51.8,55
bocca-di-lupo.de,51,21.6,51
qiez.de,51,36.8,51
capone-berlin.de,51,28.1,51
restaurantguru.com,50,38.8,50
morgenpost.de,50,42.3,50
opentable.com,49,48.5,49
top10berlin.de,48,25.1,48
doubletree-by-hilton-berlin-kudamm.de,46,10.7,46
the-dawn-berlin.de,46,20.5,46
