keyword,search_volume,keyword_difficulty,competition,cpc
italienisches restaurant berlin,4400,17,LOW,0.6
sizilianisches restaurant berlin,4400,12,LOW,0.6
bellucci berlin,2900,0,LOW,1.58
restaurant charlottenburg,2900,0,LOW,0.52
bar charlottenburg,2400,0,LOW,0.31
frühstück charlottenburg,1900,0,LOW,0.21
fine dining berlin,1900,0,MEDIUM,0.9
weinbar berlin,1600,20,LOW,0.43
restaurant berlin charlottenburg,1300,0,LOW,0.52
italiener charlottenburg,1000,0,LOW,0.25
brunch charlottenburg,1000,0,LOW,0.39
restaurant kurfürstendamm,880,4,LOW,0.44
restaurant berlin kudamm,880,0,LOW,0.52
frühstück berlin charlottenburg,720,0,LOW,0.25
romantisches restaurant berlin,720,0,MEDIUM,1.08
casa bellucci,390,0,LOW,1.36
italienisches restaurant charlottenburg,320,0,LOW,0.37
frühstück savignyplatz,320,0,LOW,0.25
gehobenes restaurant berlin,320,17,LOW,0.63
weinbar charlottenburg,260,1,LOW,0.47
italienisches restaurant berlin charlottenburg,210,0,LOW,0.45
frühstück kurfürstendamm,210,0,LOW,0.23
bestes frühstück charlottenburg,210,0,LOW,0.36
aperitivo berlin,210,0,LOW,0.16
restaurant terrasse berlin,210,12,LOW,0.33
casa bellucci berlin,170,0,LOW,3.64
gemütliche restaurants berlin charlottenburg,170,0,LOW,0.4
frühstück charlottenburg-wilmersdorf,170,0,LOW,0.26
business lunch berlin,170,0,LOW,3.01
bar kurfürstendamm,170,7,LOW,0.26
cocktailbar charlottenburg,170,2,LOW,0.34
pasta restaurant berlin,170,18,LOW,0.51
italiener kurfürstendamm,140,0,LOW,0.43
lunch charlottenburg,140,0,LOW,0.65
italienisch essen berlin,140,1,LOW,0.37
cocktailbar kudamm,110,8,LOW,0.36
date restaurant berlin,110,0,MEDIUM,0.73
mittagstisch charlottenburg,90,0,LOW,0.53
italienisches restaurant kurfürstendamm,70,1,LOW,0.15
restaurant charlottenburg italiener,70,0,LOW,0.31
mittagessen charlottenburg,40,19,LOW,0.29
business lunch charlottenburg,40,0,LOW,0.33
brunch kurfürstendamm,30,,LOW,0.15
italienisches frühstück berlin,30,,LOW,
restaurant reservieren berlin,20,20,MEDIUM,1.36
dinner charlottenburg,10,,MEDIUM,
sommerterrasse berlin,10,,LOW,0.37
casa bellucci kurfürstendamm,0,,,
lunch kurfürstendamm,0,,,
abendessen kurfürstendamm,0,,,
abendessen charlottenburg,0,,,
aperitivo charlottenburg,0,,,
restaurant mit terrasse charlottenburg,0,,,
restaurant terrasse kurfürstendamm,0,,,
restaurant für geschäftsessen berlin,0,,,
frischer fisch restaurant berlin,0,,,
tisch reservieren charlottenburg,0,,,
