title,rating,votes,address,category
Luardi Cucina della mamma,4.8,8421,Meinekestraße 24,Italian restaurant
RISTORANTE ARLECCHINO CUCINA & ITALIANA,4.8,2944,Meinekestraße 25,Italian restaurant
Restaurant Boccacelli am Winterfeldtplatz Berlin,4.8,2219,Winterfeldtstraße 34,Restaurant
Evin Pizza Pasta,4.8,1445,Kurfürstenstraße 101-104,Italian restaurant
Mokka,4.9,1294,Dortmunder Str. 9,Italian restaurant
Luigi – Osteria & Wine Bar 🇮🇹,4.8,1206,Kantstraße 60,Italian restaurant
Trattoria Fidelia,4.8,1188,Lüneburger Str. 390,Italian restaurant
Aida,4.8,995,Knesebeckstraße 83,Italian restaurant
Napolita Kurfürstendamm,4.8,882,Grolmanstraße 39,Italian restaurant
Restaurant Mamma Monti,4.8,834,Carmerstraße 11,Restaurant
Vapori,4.8,730,Nürnberger Str. 19,Italian restaurant
Trattoria il Sapore,4.9,701,Helmholtzstraße 27,Italian restaurant
Pizza Palast,4.9,602,Alt-Moabit 106,Pizza takeaway
Dolce Pizza,4.8,433,Belziger Str. 73,Pizza restaurant
Osteria Ballarò,4.8,418,Friedbergstraße 22,Italian restaurant
Trattoria La Pia,4.9,399,Hohenzollerndamm 157,Italian restaurant
Ristorante La Cantina Bleibtreu,4.8,346,"Ristorante, Bleibtreustraße 17",Italian restaurant
Panzerotto - Italian easy food,4.8,335,Stuttgarter Pl. 1,Southern Italian restaurant
Mario,4.8,316,Südwestkorso 10,Italian restaurant
Ristorante Botticelli,4.9,284,Badensche Str. 33,Italian restaurant
Ristorante Punto Uno,4.8,281,Laubacher Str. 28,Restaurant
Trattoria Morea Berlin,4.8,239,Goltzstraße 15,Italian restaurant
Vinoteca Berlin,4.8,221,Windscheidstraße 22,Bar
La Fortuna da Sergio,4.8,205,Goethestraße 16-17,Italian restaurant
Tavernetta Azara,4.8,205,Westfälische Str. 51,Italian restaurant
Alpha House Berlin,4.9,203,Kurfürstenstraße 79,Restaurant
Ludwig,4.9,193,Ludwigkirchstraße 10,Italian restaurant
Quanto Basta Ristorante Italiano,4.9,187,Leibnizstraße 74,Restaurant
Salumeria Gusto da Andrea,4.8,181,Ettaler Str. 12A,Italian restaurant
Focaccia Pasta & Pizza,4.8,159,Alt-Moabit 51,Pizza restaurant
Il Castello Italian Restaurant,4.8,151,Joachim-Friedrich-Straße 25,Italian restaurant
Pizzeria Abruzzo,4.9,131,Fritz-Reuter-Straße 1,Italian restaurant
Ristorante Bragato Vini & Gastronomia,4.8,103,Dahlmannstraße 7,Italian restaurant
Why Not Restaurant,5,100,Leonhardtstraße 13,Italian restaurant
Terra Verde - Landkost aus Sizilien,4.8,89,Grunewaldstraße 78,Italian restaurant
Pizzeria Constantino,4.9,85,Willmanndamm 15,Pizza takeaway
Cantamaggio,4.9,63,Laubacher Str. 28,Italian restaurant
Mahlzeit,4.9,63,Pohlstraße 61,Restaurant
Pastarella,4.8,61,Wilmersdorfer Str. 70,Italian restaurant
PASTALINA,4.9,53,"Prager Platz 6, Motzstraße 93",Italian restaurant
Toscana,5,48,Schlüterstraße 64,Italian restaurant
Da Ballto,4.8,48,Bayerischer Pl. 4,Italian restaurant
Trattoria Italiana Steak House Giovanni 78,4.8,44,Kantstraße 15,Steak house
Adam’s Döner und Pizza,4.8,40,Hauptstraße 113-115,Doner kebab restaurant
Merenda - Snacks & Spezialitäten aus Italien,4.8,34,Güntzelstraße 63,Italian restaurant
Osteria Mia,4.9,18,Kaiserdamm 110,Italian restaurant
Trattoria da Mario,5,9,Lehniner Pl. 2,Italian restaurant
Casa Lasagna,5,5,Pfalzburger Str. 7,Italian restaurant
Alpen Küche,5,3,Budapester Str. 46,Italian restaurant
RomanTisch Bistro,5,2,"Parkside, Katharina-Heinroth-Ufer 1",Italian restaurant
